date,CashData
6/21/2021 1:00,1786.45
6/22/2021 1:00,1790.02
6/22/2021 1:00,1772.25
6/23/2021 1:00,1795.05
6/23/2021 1:00,1773.11
6/24/2021 1:00,1772.77
6/24/2021 1:00,1787.92
6/25/2021 1:00,1773.58
6/25/2021 1:00,1790.28
6/28/2021 1:00,1770.57
6/28/2021 1:00,1785.64
6/29/2021 1:00,1778.89
6/29/2021 1:00,1750.51
6/30/2021 1:00,1753.2
6/30/2021 1:00,1774.3
7/1/2021 1:00,1765.52
7/1/2021 1:00,1783.04
7/2/2021 1:00,1774.24
7/2/2021 1:00,1795.07
7/5/2021 1:00,1784.4
7/5/2021 1:00,1794.4
7/6/2021 1:00,1814.93
7/6/2021 1:00,1789.99
7/7/2021 1:00,1793.86
7/7/2021 1:00,1809.75
7/8/2021 1:00,1818.32
7/8/2021 1:00,1794.28
7/9/2021 1:00,1796.6
7/9/2021 1:00,1812.33
7/12/2021 1:00,1810.81
7/12/2021 1:00,1791.55
7/13/2021 1:00,1817.06
7/13/2021 1:00,1798.62
7/14/2021 1:00,1804.5
7/14/2021 1:00,1829.8
7/15/2021 1:00,1834.08
7/15/2021 1:00,1820.27
7/16/2021 1:00,1831.98
7/16/2021 1:00,1808.85
7/19/2021 1:00,1817.3
7/19/2021 1:00,1794.93
7/20/2021 1:00,1824.77
7/20/2021 1:00,1804.88
7/21/2021 1:00,1813.67
7/21/2021 1:00,1794.63
7/22/2021 1:00,1792.69
7/22/2021 1:00,1808.58
7/23/2021 1:00,1810.31
7/23/2021 1:00,1789.62
7/26/2021 1:00,1811.47
7/26/2021 1:00,1796.32
7/27/2021 1:00,1793.58
7/27/2021 1:00,1805.21
7/28/2021 1:00,1792.54
7/28/2021 1:00,1809.77
7/29/2021 1:00,1806.77
7/29/2021 1:00,1832.59
7/30/2021 1:00,1831.3
7/30/2021 1:00,1810.21
8/2/2021 1:00,1805.75
8/2/2021 1:00,1819.47
8/3/2021 1:00,1807.06
8/3/2021 1:00,1814.97
8/4/2021 1:00,1831.66
8/4/2021 1:00,1806.43
8/5/2021 1:00,1814.85
8/5/2021 1:00,1797.74
8/6/2021 1:00,1804.77
8/6/2021 1:00,1758.62
8/9/2021 1:00,1764.55
8/9/2021 1:00,1685.81
8/10/2021 1:00,1738.22
8/10/2021 1:00,1718.21
8/11/2021 1:00,1724.06
8/11/2021 1:00,1754.38
8/12/2021 1:00,1758.07
8/12/2021 1:00,1741.55
8/13/2021 1:00,1751.66
8/13/2021 1:00,1780.29
8/16/2021 1:00,1770.79
8/16/2021 1:00,1789.22
8/17/2021 1:00,1795.48
8/17/2021 1:00,1780.51
8/18/2021 1:00,1793.75
8/18/2021 1:00,1777.13
8/19/2021 1:00,1774.43
8/19/2021 1:00,1792.4
8/20/2021 1:00,1788.37
8/20/2021 1:00,1778.29
8/23/2021 1:00,1776.37
8/23/2021 1:00,1806.38
8/24/2021 1:00,1800.68
8/24/2021 1:00,1809.54
8/25/2021 1:00,1803.1
8/25/2021 1:00,1782.49
8/26/2021 1:00,1779.98
8/26/2021 1:00,1798.15
8/27/2021 1:00,1785
8/27/2021 1:00,1819.21
8/30/2021 1:00,1823.13
8/30/2021 1:00,1807.93
8/31/2021 1:00,1819.15
8/31/2021 1:00,1801.7
9/1/2021 1:00,1819.91
9/1/2021 1:00,1808.51
9/2/2021 1:00,1817.05
9/2/2021 1:00,1804.79
9/3/2021 1:00,1808.86
9/3/2021 1:00,1833.95
9/6/2021 1:00,1830.28
9/6/2021 1:00,1821.33
9/7/2021 1:00,1827.25
9/7/2021 1:00,1792.37
9/8/2021 1:00,1802.1
9/8/2021 1:00,1782.29
9/9/2021 1:00,1800.91
9/9/2021 1:00,1783.75
9/10/2021 1:00,1803.85
9/10/2021 1:00,1787.08
9/13/2021 1:00,1783.75
9/13/2021 1:00,1798.25
9/14/2021 1:00,1781.24
9/14/2021 1:00,1808.6
9/15/2021 1:00,1806.75
9/15/2021 1:00,1790.67
9/16/2021 1:00,1796.14
9/16/2021 1:00,1745.28
9/17/2021 1:00,1767.42
9/17/2021 1:00,1747.43
9/20/2021 1:00,1741.94
9/20/2021 1:00,1766.92
9/21/2021 1:00,1757.87
9/21/2021 1:00,1781.66
9/22/2021 1:00,1787.16
9/22/2021 1:00,1764.63
9/23/2021 1:00,1776.48
9/23/2021 1:00,1737.58
9/24/2021 1:00,1757.53
9/24/2021 1:00,1740.4
9/27/2021 1:00,1760.74
9/27/2021 1:00,1744.75
9/28/2021 1:00,1754.38
9/28/2021 1:00,1728.02
9/29/2021 1:00,1745.46
9/29/2021 1:00,1721.55
9/30/2021 1:00,1722.13
9/30/2021 1:00,1764.11
10/1/2021 1:00,1749.59
10/1/2021 1:00,1764.22
10/4/2021 1:00,1747.66
10/4/2021 1:00,1770.48
10/5/2021 1:00,1769.86
10/5/2021 1:00,1748.53
10/6/2021 1:00,1745.85
10/6/2021 1:00,1765.04
10/7/2021 1:00,1766.89
10/7/2021 1:00,1751.86
10/8/2021 1:00,1753.2
10/8/2021 1:00,1781.22
10/11/2021 1:00,1760.9
10/11/2021 1:00,1750.04
10/12/2021 1:00,1750.75
10/12/2021 1:00,1769.25
10/13/2021 1:00,1757.79
10/13/2021 1:00,1796.03
10/14/2021 1:00,1786.51
10/14/2021 1:00,1800.42
10/15/2021 1:00,1796.4
10/15/2021 1:00,1764.72
10/18/2021 1:00,1772.03
10/18/2021 1:00,1760.27
10/19/2021 1:00,1762.78
10/19/2021 1:00,1785.04
10/20/2021 1:00,1766.75
10/20/2021 1:00,1788.34
10/21/2021 1:00,1789.39
10/21/2021 1:00,1776.35
10/22/2021 1:00,1782.85
10/22/2021 1:00,1813.95
10/25/2021 1:00,1792.17
10/25/2021 1:00,1809.96
10/26/2021 1:00,1808.24
10/26/2021 1:00,1782.27
10/27/2021 1:00,1783.35
10/27/2021 1:00,1799.05
10/28/2021 1:00,1810.36
10/28/2021 1:00,1792.16
10/29/2021 1:00,1801.04
10/29/2021 1:00,1771.79
11/1/2021 0:00,1778.99
11/1/2021 0:00,1795.75
11/2/2021 0:00,1796.34
11/2/2021 0:00,1786.25
11/3/2021 0:00,1788.11
11/3/2021 0:00,1758.6
11/4/2021 0:00,1769.33
11/4/2021 0:00,1798.86
11/5/2021 0:00,1785.11
11/5/2021 0:00,1818.16
11/8/2021 1:00,1812.36
11/8/2021 1:00,1826.32
11/9/2021 1:00,1819.08
11/9/2021 1:00,1832.57
11/10/2021 1:00,1822.27
11/10/2021 1:00,1868.5
11/11/2021 1:00,1842.8
11/11/2021 1:00,1865.97
11/12/2021 1:00,1845.17
11/12/2021 1:00,1868.6
11/15/2021 1:00,1856.22
11/15/2021 1:00,1870.18
11/16/2021 1:00,1877.03
11/16/2021 1:00,1849.53
11/17/2021 1:00,1849.48
11/17/2021 1:00,1867.96
11/18/2021 1:00,1870.87
11/18/2021 1:00,1855.02
11/19/2021 1:00,1865.78
11/19/2021 1:00,1842.85
11/22/2021 1:00,1849
11/22/2021 1:00,1802.09
11/23/2021 1:00,1812.34
11/23/2021 1:00,1781.88
11/24/2021 1:00,1796.27
11/24/2021 1:00,1778.38
11/25/2021 1:00,1785.88
11/25/2021 1:00,1794.98
11/26/2021 1:00,1815.52
11/26/2021 1:00,1780.45
11/29/2021 1:05,1779.95
11/29/2021 1:05,1799.34
11/30/2021 1:00,1808.65
11/30/2021 1:00,1769.79
12/1/2021 1:00,1772.16
12/1/2021 1:00,1794.55
12/2/2021 1:00,1783.34
12/2/2021 1:00,1761.71
12/3/2021 1:00,1766.01
12/3/2021 1:00,1786.04
12/6/2021 1:00,1787.63
12/6/2021 1:00,1775.62
12/7/2021 1:00,1772.07
12/7/2021 1:00,1787.73
12/8/2021 1:00,1793.05
12/8/2021 1:00,1779.52
12/9/2021 1:00,1787.54
12/9/2021 1:00,1773.12
12/10/2021 1:00,1770.01
12/10/2021 1:00,1789.45
12/13/2021 1:00,1781.65
12/13/2021 1:00,1791.51
12/14/2021 1:00,1789.46
12/14/2021 1:00,1766.38
12/15/2021 1:00,1753
12/15/2021 1:00,1780.8
12/16/2021 1:00,1775.44
12/16/2021 1:00,1799.66
12/17/2021 1:00,1814.18
12/17/2021 1:00,1795.69
12/20/2021 1:00,1804.02
12/20/2021 1:00,1788.24
12/21/2021 1:00,1800.38
12/21/2021 1:00,1784.75
12/22/2021 1:00,1785.78
12/22/2021 1:00,1804.93
12/23/2021 1:00,1798.84
12/23/2021 1:00,1810.69
12/27/2021 1:00,1802.9
12/27/2021 1:00,1813.37
12/28/2021 1:00,1820.14
12/28/2021 1:00,1804.92
12/29/2021 1:00,1807.55
12/29/2021 1:00,1789.35
12/30/2021 1:00,1796.08
12/30/2021 1:00,1817.06
12/31/2021 1:00,1814.32
12/31/2021 1:00,1828.57
1/3/2022 1:00,1831.58
1/3/2022 1:00,1798.25
1/4/2022 1:00,1798.49
1/4/2022 1:00,1816.65
1/5/2022 1:00,1829.6
1/5/2022 1:00,1808.19
1/6/2022 1:00,1811.43
1/6/2022 1:00,1786.24
1/7/2022 1:00,1782.49
1/7/2022 1:00,1798.58
1/10/2022 1:00,1802.22
1/10/2022 1:00,1790.27
1/11/2022 1:00,1799.97
1/11/2022 1:00,1823.16
1/12/2022 1:00,1814.61
1/12/2022 1:00,1827.98
1/13/2022 1:00,1828.01
1/13/2022 1:00,1812.3
1/14/2022 1:00,1829.05
1/14/2022 1:00,1814.58
1/17/2022 1:00,1813
1/17/2022 1:00,1823.14
1/18/2022 1:00,1822.69
1/18/2022 1:00,1805.62
1/19/2022 1:00,1810.18
1/19/2022 1:00,1843.28
1/20/2022 1:00,1835.85
1/20/2022 1:00,1847.84
1/21/2022 1:00,1843.15
1/21/2022 1:00,1828.42
1/24/2022 1:00,1844.27
1/24/2022 1:00,1829.65
1/25/2022 1:00,1834.79
1/25/2022 1:00,1853.75
1/26/2022 1:00,1849.99
1/26/2022 1:00,1814.73
1/27/2022 1:00,1822.07
1/27/2022 1:00,1791.68
1/28/2022 1:00,1799.33
1/28/2022 1:00,1780.17
1/31/2022 1:00,1785.48
1/31/2022 1:00,1799.83
2/1/2022 1:00,1795.65
2/1/2022 1:00,1808.71
2/2/2022 1:00,1794.34
2/2/2022 1:00,1810.7
2/3/2022 1:00,1808.88
2/3/2022 1:00,1788.57
2/4/2022 1:00,1814.81
2/4/2022 1:00,1792.15
2/7/2022 1:00,1806.33
2/7/2022 1:00,1823.47
2/8/2022 1:00,1815.35
